,word,topic
0,loop,Topic0
1,hero,Topic0
2,gameplay,Topic0
3,nt,Topic0
4,mechanic,Topic0
5,true,Topic0
6,building,Topic0
7,strange,Topic0
8,price,Topic0
9,wo,Topic0
10,version,Topic1
11,experience,Topic6
12,solid,Topic1
13,pc,Topic1
14,fan,Topic6
15,hour,Topic1
16,gameplay,Topic0
17,setting,Topic1
18,lack,Topic1
19,monster,Topic1
20,combat,Topic7
21,story,Topic4
22,issue,Topic2
23,also,Topic2
24,system,Topic2
25,way,Topic2
26,experience,Topic6
27,make,Topic12
28,could,Topic2
29,predecessor,Topic2
30,still,Topic13
31,title,Topic3
32,feel,Topic12
33,play,Topic3
34,shooter,Topic3
35,well,Topic9
36,fan,Topic6
37,experience,Topic6
38,right,Topic3
39,go,Topic3
40,story,Topic4
41,adventure,Topic4
42,vr,Topic4
43,rpg,Topic4
44,character,Topic4
45,lot,Topic4
46,well,Topic9
47,battle,Topic4
48,big,Topic4
49,tabletop,Topic4
50,story,Topic4
51,player,Topic5
52,fully,Topic5
53,star,Topic5
54,space,Topic5
55,exactly,Topic5
56,emotional,Topic5
57,core,Topic5
58,problem,Topic5
59,tell,Topic5
60,fun,Topic6
61,experience,Topic6
62,genre,Topic6
63,make,Topic12
64,fan,Topic6
65,player,Topic5
66,may,Topic6
67,story,Topic4
68,even,Topic7
69,world,Topic14
70,might,Topic7
71,fight,Topic7
72,dialogue,Topic7
73,entertaining,Topic7
74,even,Topic7
75,element,Topic7
76,combat,Topic7
77,thought,Topic7
78,puzzle,Topic7
79,never,Topic7
80,back,Topic8
81,blood,Topic8
82,time,Topic14
83,strategy,Topic8
84,nt,Topic0
85,atmosphere,Topic8
86,work,Topic8
87,really,Topic8
88,better,Topic8
89,dungeon,Topic8
90,lost,Topic9
91,well,Topic9
92,worth,Topic9
93,delivers,Topic9
94,make,Topic12
95,enough,Topic9
96,return,Topic9
97,first,Topic9
98,cool,Topic9
99,series,Topic9
100,final,Topic10
101,fantasy,Topic10
102,pixel,Topic10
103,remaster,Topic10
104,story,Topic4
105,voice,Topic10
106,music,Topic10
107,soundtrack,Topic10
108,acting,Topic10
109,creates,Topic10
110,sense,Topic11
111,start,Topic11
112,choice,Topic11
113,gate,Topic11
114,finish,Topic11
115,zero,Topic11
116,might,Topic7
117,finding,Topic11
118,feeling,Topic11
119,similar,Topic11
120,make,Topic12
121,feel,Topic12
122,time,Topic14
123,evolution,Topic12
124,take,Topic12
125,experience,Topic6
126,still,Topic13
127,around,Topic12
128,first,Topic9
129,thing,Topic12
130,age,Topic13
131,empires,Topic13
132,dead,Topic13
133,still,Topic13
134,bit,Topic13
135,classic,Topic13
136,quality,Topic13
137,love,Topic13
138,player,Topic5
139,issue,Topic2
140,little,Topic14
141,time,Topic14
142,world,Topic14
143,story,Topic4
144,puzzle,Topic7
145,experience,Topic6
146,level,Topic14
147,find,Topic14
148,mechanic,Topic0
149,death,Topic14
